person_id,age_group,gender,occupation_category,home_location_id,account_created_date
PER_000075,36-50,Other,Retail,LOC_000102,2025-02-12
PER_000076,51+,Other,Retail,LOC_000016,2025-04-23
PER_000077,51+,F,Tech,LOC_000035,2025-04-14
PER_000078,51+,Other,Services,LOC_000114,2025-01-11
PER_000079,18-25,M,Student,LOC_000004,2025-03-06
PER_000080,18-25,M,Unemployed,LOC_000074,2025-03-10
PER_000081,51+,F,Finance,LOC_000084,2025-05-13
PER_000082,51+,M,Unemployed,LOC_000082,2025-04-22
PER_000083,36-50,F,Tech,LOC_000053,2025-03-31
PER_000084,51+,Other,Unemployed,LOC_000043,2025-02-11
PER_000085,51+,Other,Student,LOC_000085,2025-03-15
PER_000086,36-50,F,Services,LOC_000012,2025-04-27
PER_000087,51+,Other,Student,LOC_000099,2025-01-30
PER_000088,51+,M,Healthcare,LOC_000060,2025-05-19
PER_000089,51+,Other,Unemployed,LOC_000047,2025-05-13
PER_000090,36-50,Other,Finance,LOC_000027,2025-01-14
PER_000091,51+,M,Student,LOC_000057,2025-03-15
PER_000092,26-35,F,Retired,LOC_000091,2025-03-03
PER_000093,51+,M,Healthcare,LOC_000071,2025-01-04
PER_000094,18-25,Other,Finance,LOC_000060,2025-01-30
PER_000095,36-50,Other,Retail,LOC_000120,2025-05-08
PER_000096,51+,F,Healthcare,LOC_000107,2025-04-17
PER_000097,26-35,F,Healthcare,LOC_000071,2025-04-27
PER_000098,26-35,M,Retail,LOC_000096,2025-05-11
PER_000099,36-50,M,Retail,LOC_000044,2025-04-17
PER_000100,51+,M,Unemployed,LOC_000108,2025-03-18
