phone_id,owner_person_id,carrier_synthetic,activation_date,is_shared
PH_000154,PER_000049,AeroNet,2025-02-15,True
PH_000155,PER_000049,HorizonMobile,2025-08-02,True
PH_000156,PER_000076,VortexCell,2025-09-11,True
PH_000157,PER_000076,PulseCom,2025-01-20,True
PH_000158,PER_000059,PulseCom,2025-02-24,False
PH_000159,PER_000065,HorizonMobile,2025-09-26,False
PH_000160,PER_000043,VortexCell,2025-05-20,True
PH_000161,PER_000092,AeroNet,2025-03-25,False
PH_000162,PER_000073,AeroNet,2025-01-08,False
PH_000163,PER_000052,HorizonMobile,2025-03-31,False
PH_000164,PER_000045,TelecomX,2025-09-21,True
PH_000165,PER_000032,TelecomX,2025-04-05,False
PH_000166,PER_000035,VortexCell,2025-05-14,False
PH_000167,PER_000034,VortexCell,2025-06-04,False
PH_000168,PER_000076,TelecomX,2025-12-21,True
PH_000169,PER_000045,PulseCom,2025-08-27,True
PH_000170,PER_000082,VortexCell,2025-12-27,False
PH_000171,PER_000049,HorizonMobile,2025-07-08,True
PH_000172,PER_000048,HorizonMobile,2025-03-20,False
PH_000173,PER_000069,AeroNet,2025-12-26,False
PH_000174,PER_000011,PulseCom,2025-05-07,False
PH_000175,PER_000073,TelecomX,2025-08-17,False
PH_000176,PER_000026,PulseCom,2025-02-01,False
PH_000177,PER_000045,PulseCom,2025-10-02,True
PH_000178,PER_000043,PulseCom,2025-08-15,True
PH_000179,PER_000076,HorizonMobile,2025-09-08,True
PH_000180,PER_000059,PulseCom,2025-01-29,False
PH_000181,PER_000040,TelecomX,2025-01-30,False
PH_000182,PER_000043,AeroNet,2025-07-22,True
PH_000183,PER_000045,VortexCell,2025-10-24,True
PH_000184,PER_000043,TelecomX,2025-12-25,True
PH_000185,PER_000045,AeroNet,2025-08-30,True
PH_000186,PER_000083,HorizonMobile,2025-03-11,False
PH_000187,PER_000049,HorizonMobile,2025-07-11,False
PH_000188,PER_000070,AeroNet,2025-02-11,False
PH_000189,PER_000091,PulseCom,2025-12-01,True
PH_000190,PER_000049,TelecomX,2025-03-07,True
PH_000191,PER_000055,PulseCom,2025-06-02,False
PH_000192,PER_000091,AeroNet,2025-07-14,True
PH_000193,PER_000076,TelecomX,2025-05-22,True
PH_000194,PER_000099,TelecomX,2025-01-17,False
PH_000195,PER_000043,PulseCom,2025-05-04,True
PH_000196,PER_000007,AeroNet,2025-01-18,False
PH_000197,PER_000049,TelecomX,2025-01-23,True
PH_000198,PER_000094,PulseCom,2025-03-13,False
PH_000199,PER_000042,AeroNet,2025-06-13,False
PH_000200,PER_000067,AeroNet,2025-06-04,False
PH_000201,PER_000043,PulseCom,2025-07-31,True
PH_000202,PER_000081,HorizonMobile,2025-10-30,False
PH_000203,PER_000083,HorizonMobile,2025-10-12,False
PH_000204,PER_000045,HorizonMobile,2025-09-26,True
PH_000205,PER_000043,PulseCom,2025-03-18,True
PH_000206,PER_000043,VortexCell,2025-08-31,True
PH_000207,PER_000045,TelecomX,2025-12-29,True
PH_000208,PER_000068,AeroNet,2025-10-15,False
PH_000209,PER_000043,VortexCell,2025-07-18,True
PH_000210,PER_000045,VortexCell,2025-11-28,True
PH_000211,PER_000007,VortexCell,2025-02-17,False
PH_000212,PER_000010,AeroNet,2025-07-13,False
PH_000213,PER_000062,AeroNet,2025-10-28,False
PH_000214,PER_000043,AeroNet,2025-06-20,True
PH_000215,PER_000091,AeroNet,2025-04-08,True
PH_000216,PER_000049,PulseCom,2025-12-23,True
PH_000217,PER_000069,VortexCell,2025-06-14,False
PH_000218,PER_000076,HorizonMobile,2025-06-07,True
PH_000219,PER_000076,HorizonMobile,2025-08-27,True
PH_000220,PER_000053,TelecomX,2025-06-13,False
PH_000221,PER_000003,VortexCell,2025-10-16,False
PH_000222,PER_000054,VortexCell,2025-10-11,False
PH_000223,PER_000043,HorizonMobile,2025-03-20,True
PH_000224,PER_000084,VortexCell,2025-10-19,False
PH_000225,PER_000093,HorizonMobile,2025-05-12,False
PH_000226,PER_000045,AeroNet,2025-08-24,True
PH_000227,PER_000070,TelecomX,2025-03-13,False
PH_000228,PER_000043,TelecomX,2025-09-26,True
PH_000229,PER_000030,TelecomX,2025-01-04,False
PH_000230,PER_000043,PulseCom,2025-12-29,True
PH_000231,PER_000086,PulseCom,2025-08-22,False
PH_000232,PER_000091,TelecomX,2025-09-05,True
PH_000233,PER_000037,TelecomX,2025-01-09,False
PH_000234,PER_000023,TelecomX,2025-09-15,False
PH_000235,PER_000091,VortexCell,2025-02-19,True
PH_000236,PER_000091,HorizonMobile,2025-05-17,True
PH_000237,PER_000076,AeroNet,2025-10-17,True
PH_000238,PER_000084,TelecomX,2025-06-03,False
PH_000239,PER_000061,TelecomX,2025-02-17,False
PH_000240,PER_000043,TelecomX,2025-11-23,True
PH_000241,PER_000043,PulseCom,2025-09-13,False
PH_000242,PER_000030,AeroNet,2025-02-18,False
PH_000243,PER_000006,TelecomX,2025-12-21,False
PH_000244,PER_000073,TelecomX,2025-12-17,False
PH_000245,PER_000027,PulseCom,2025-04-02,False
PH_000246,PER_000051,TelecomX,2025-03-15,False
PH_000247,PER_000043,PulseCom,2025-06-03,True
PH_000248,PER_000050,AeroNet,2025-07-19,False
PH_000249,PER_000045,TelecomX,2025-12-19,False
PH_000250,PER_000044,PulseCom,2025-02-20,False
PH_000251,PER_000100,VortexCell,2025-11-11,False
PH_000252,PER_000058,HorizonMobile,2025-01-16,False
PH_000253,PER_000056,AeroNet,2025-04-27,False
PH_000254,PER_000099,PulseCom,2025-12-15,False
PH_000255,PER_000011,VortexCell,2025-06-01,False
PH_000256,PER_000020,HorizonMobile,2025-03-20,False
PH_000257,PER_000091,HorizonMobile,2025-06-12,True
PH_000258,PER_000049,AeroNet,2025-07-04,True
PH_000259,PER_000053,TelecomX,2025-08-09,False
PH_000260,PER_000076,TelecomX,2025-01-14,True
PH_000261,PER_000050,TelecomX,2025-11-02,False
PH_000262,PER_000093,PulseCom,2025-05-30,False
PH_000263,PER_000091,AeroNet,2025-05-05,True
PH_000264,PER_000045,HorizonMobile,2025-03-13,True
PH_000265,PER_000045,VortexCell,2025-03-16,True
PH_000266,PER_000043,VortexCell,2025-08-04,True
PH_000267,PER_000064,PulseCom,2025-05-09,False
PH_000268,PER_000043,AeroNet,2025-11-12,True
PH_000269,PER_000045,VortexCell,2025-06-05,True
PH_000270,PER_000057,VortexCell,2025-11-14,False
PH_000271,PER_000077,AeroNet,2025-08-09,False
PH_000272,PER_000076,AeroNet,2025-06-03,True
PH_000273,PER_000045,VortexCell,2025-09-03,True
PH_000274,PER_000074,AeroNet,2025-05-30,False
PH_000275,PER_000051,VortexCell,2025-06-16,False
PH_000276,PER_000049,PulseCom,2025-02-28,True
PH_000277,PER_000091,AeroNet,2025-01-14,False
PH_000278,PER_000009,HorizonMobile,2025-08-13,False
PH_000279,PER_000031,VortexCell,2025-12-11,False
PH_000280,PER_000045,HorizonMobile,2025-12-04,True
PH_000281,PER_000075,HorizonMobile,2025-02-07,False
PH_000282,PER_000089,HorizonMobile,2025-10-01,False
PH_000283,PER_000045,PulseCom,2025-10-06,True
PH_000284,PER_000049,VortexCell,2025-11-01,True
PH_000285,PER_000091,VortexCell,2025-03-27,True
PH_000286,PER_000043,VortexCell,2025-08-09,True
PH_000287,PER_000075,PulseCom,2025-04-24,False
PH_000288,PER_000099,PulseCom,2025-04-24,False
PH_000289,PER_000004,HorizonMobile,2025-12-20,False
PH_000290,PER_000043,TelecomX,2025-02-23,True
PH_000291,PER_000045,HorizonMobile,2025-03-14,True
PH_000292,PER_000013,HorizonMobile,2025-04-16,False
PH_000293,PER_000049,TelecomX,2025-12-23,True
PH_000294,PER_000087,AeroNet,2025-01-12,False
PH_000295,PER_000043,PulseCom,2025-05-05,False
PH_000296,PER_000091,AeroNet,2025-08-07,True
PH_000297,PER_000004,PulseCom,2025-04-06,False
PH_000298,PER_000001,AeroNet,2025-04-12,False
PH_000299,PER_000076,TelecomX,2025-04-16,True
PH_000300,PER_000076,AeroNet,2025-10-23,True
