event_id,event_type,timestamp,source_person_id,target_person_id,phone_id,device_id,ip_id,account_id,location_id,amount,duration_seconds,direction,status,channel,transaction_type
EVT_002845,location_ping,2025-01-01 18:56:55,PER_000093,,,DEV_000118,,,LOC_000071,,,,completed,ussd,
EVT_006332,call,2025-01-01 19:03:26,PER_000093,PER_000086,PH_000225,,,,LOC_000071,,558.0,outbound,completed,web,
EVT_001537,location_ping,2025-01-01 19:08:31,PER_000093,,,DEV_000002,,,LOC_000071,,,,completed,mobile_app,
EVT_001314,transaction,2025-01-01 19:51:28,PER_000059,PER_000071,,DEV_000013,IP_000052,ACC_000059,LOC_000071,1662.27,,outbound,completed,pos,p2p
EVT_003417,login,2025-01-01 21:45:34,PER_000084,,PH_000238,DEV_000090,IP_000110,,LOC_000050,,,,completed,atm,
EVT_001478,call,2025-01-01 22:04:12,PER_000027,PER_000042,PH_000027,,,,LOC_000097,,1122.0,outbound,completed,mobile_app,
EVT_002076,transaction,2025-01-02 01:24:27,PER_000018,PER_000042,,DEV_000035,IP_000053,ACC_000018,LOC_000001,1046.87,,internal,completed,atm,p2p
EVT_000581,call,2025-01-02 04:55:59,PER_000027,PER_000085,PH_000027,,,,LOC_000097,,246.0,outbound,completed,pos,
EVT_000729,sms,2025-01-02 05:27:04,PER_000093,PER_000063,PH_000262,,,,LOC_000071,,,inbound,completed,api,
EVT_001311,call,2025-01-02 07:12:46,PER_000013,PER_000100,PH_000013,,,,LOC_000001,,689.0,inbound,completed,atm,
EVT_002341,sms,2025-01-02 09:30:08,PER_000020,PER_000001,PH_000020,,,,LOC_000056,,,internal,completed,mobile_app,
EVT_000916,login,2025-01-02 09:36:03,PER_000001,,PH_000298,DEV_000099,IP_000073,,LOC_000098,,,,completed,api,
EVT_004300,call,2025-01-02 09:55:53,PER_000001,PER_000054,PH_000298,,,,LOC_000051,,1148.0,internal,completed,pos,
EVT_003762,location_ping,2025-01-02 11:55:37,PER_000070,,,DEV_000043,,,LOC_000001,,,,completed,atm,
EVT_002666,sms,2025-01-02 12:42:42,PER_000002,PER_000071,PH_000114,,,,LOC_000032,,,outbound,completed,ussd,
EVT_001221,login,2025-01-02 13:11:36,PER_000075,,PH_000127,DEV_000057,IP_000009,,LOC_000102,,,,completed,mobile_app,
EVT_000359,sms,2025-01-02 13:25:12,PER_000083,PER_000081,PH_000186,,,,LOC_000053,,,internal,completed,mobile_app,
EVT_005256,login,2025-01-02 13:32:41,PER_000062,,PH_000213,DEV_000035,IP_000036,,LOC_000033,,,,completed,mobile_app,
EVT_003438,call,2025-01-02 14:36:32,PER_000018,PER_000087,PH_000018,,,,LOC_000001,,1050.0,outbound,completed,api,
EVT_002193,transaction,2025-01-02 15:30:26,PER_000093,PER_000084,,DEV_000089,IP_000108,ACC_000093,LOC_000071,60242.37,,outbound,completed,mobile_app,payment
EVT_000567,sms,2025-01-02 18:10:36,PER_000027,PER_000050,PH_000027,,,,LOC_000097,,,internal,completed,api,
EVT_001891,call,2025-01-02 18:40:52,PER_000014,PER_000054,PH_000014,,,,LOC_000050,,292.0,inbound,completed,web,
EVT_004440,location_ping,2025-01-02 19:36:39,PER_000087,,,DEV_000089,,,LOC_000099,,,,completed,pos,
EVT_001677,call,2025-01-02 20:38:21,PER_000009,PER_000031,PH_000278,,,,LOC_000107,,202.0,outbound,completed,atm,
EVT_000755,sms,2025-01-02 20:50:14,PER_000027,PER_000012,PH_000027,,,,LOC_000042,,,outbound,completed,web,
EVT_001074,call,2025-01-02 21:15:04,PER_000059,PER_000100,PH_000158,,,,LOC_000071,,967.0,internal,completed,ussd,
EVT_001434,login,2025-01-02 21:35:27,PER_000042,,PH_000042,DEV_000119,IP_000074,,LOC_000034,,,,completed,api,
EVT_001696,sms,2025-01-02 22:23:16,PER_000057,PER_000079,PH_000057,,,,LOC_000030,,,outbound,completed,mobile_app,
EVT_003567,transaction,2025-01-03 01:53:50,PER_000073,PER_000003,,DEV_000074,IP_000033,ACC_000073,LOC_000047,3346.86,,internal,completed,ussd,deposit
EVT_004487,login,2025-01-03 03:43:02,PER_000093,,PH_000093,DEV_000006,IP_000069,,LOC_000071,,,,completed,web,
EVT_007416,call,2025-01-03 05:53:55,PER_000036,PER_000007,PH_000036,,,,LOC_000090,,353.0,internal,completed,atm,
EVT_005917,call,2025-01-03 07:10:09,PER_000039,PER_000007,PH_000039,,,,LOC_000002,,990.0,internal,completed,atm,
EVT_002860,sms,2025-01-03 09:27:04,PER_000019,PER_000089,PH_000019,,,,LOC_000022,,,internal,completed,ussd,
EVT_000324,location_ping,2025-01-03 10:46:06,PER_000022,,,DEV_000118,,,LOC_000047,,,,completed,api,
EVT_004984,transaction,2025-01-03 11:59:25,PER_000018,PER_000027,,DEV_000052,IP_000003,ACC_000118,LOC_000001,136.05,,inbound,completed,mobile_app,deposit
EVT_003496,transaction,2025-01-03 16:41:28,PER_000068,PER_000008,,DEV_000087,IP_000015,ACC_000068,LOC_000081,4220.58,,outbound,completed,api,transfer
EVT_004567,transaction,2025-01-03 16:48:35,PER_000042,PER_000027,,DEV_000062,IP_000041,ACC_000142,LOC_000060,3014.59,,internal,completed,api,transfer
EVT_004889,login,2025-01-03 16:50:16,PER_000047,,PH_000120,DEV_000112,IP_000092,,LOC_000113,,,,completed,mobile_app,
EVT_003729,location_ping,2025-01-03 16:53:37,PER_000025,,,DEV_000088,,,LOC_000007,,,,completed,ussd,
EVT_003849,sms,2025-01-03 17:32:09,PER_000059,PER_000031,PH_000158,,,,LOC_000071,,,internal,completed,api,
EVT_000895,call,2025-01-03 19:20:24,PER_000093,PER_000040,PH_000093,,,,LOC_000023,,1035.0,internal,completed,mobile_app,
EVT_001356,location_ping,2025-01-04 03:18:57,PER_000018,,,DEV_000119,,,LOC_000001,,,,completed,ussd,
EVT_005259,call,2025-01-04 04:34:32,PER_000001,PER_000071,PH_000298,,,,LOC_000029,,506.0,inbound,completed,web,
EVT_004294,sms,2025-01-04 05:39:57,PER_000059,PER_000070,PH_000137,,,,LOC_000032,,,internal,completed,pos,
EVT_002351,transaction,2025-01-04 06:20:52,PER_000016,PER_000042,,DEV_000079,IP_000074,ACC_000116,LOC_000054,140783.6,,outbound,completed,api,transfer
EVT_002692,call,2025-01-04 08:00:56,PER_000062,PER_000046,PH_000213,,,,LOC_000033,,1200.0,inbound,completed,web,
EVT_004809,location_ping,2025-01-04 08:12:14,PER_000050,,,DEV_000063,,,LOC_000058,,,,completed,pos,
EVT_005731,call,2025-01-04 08:30:41,PER_000093,PER_000020,PH_000262,,,,LOC_000071,,1094.0,inbound,completed,mobile_app,
EVT_003569,location_ping,2025-01-04 12:25:47,PER_000071,,,DEV_000108,,,LOC_000099,,,,completed,atm,
EVT_000724,sms,2025-01-04 12:31:53,PER_000069,PER_000004,PH_000173,,,,LOC_000031,,,outbound,completed,ussd,
EVT_000504,transaction,2025-01-04 15:10:52,PER_000050,PER_000002,,DEV_000100,IP_000090,ACC_000150,LOC_000058,226733.81,,inbound,completed,api,payment
EVT_002759,transaction,2025-01-04 16:46:35,PER_000073,PER_000071,,DEV_000073,IP_000037,ACC_000073,LOC_000015,3174.01,,inbound,completed,atm,payment
EVT_004426,transaction,2025-01-04 18:03:15,PER_000002,PER_000087,,DEV_000045,IP_000071,ACC_000102,LOC_000032,198135.71,,internal,completed,api,transfer
EVT_004268,location_ping,2025-01-05 03:01:37,PER_000046,,,DEV_000056,,,LOC_000028,,,,completed,atm,
EVT_007253,sms,2025-01-05 04:35:38,PER_000024,PER_000018,PH_000024,,,,LOC_000083,,,inbound,completed,api,
EVT_006879,sms,2025-01-05 05:56:56,PER_000025,PER_000065,PH_000132,,,,LOC_000007,,,outbound,completed,ussd,
EVT_003733,location_ping,2025-01-05 07:23:37,PER_000001,,,DEV_000086,,,LOC_000099,,,,completed,ussd,
EVT_003055,location_ping,2025-01-05 07:38:34,PER_000050,,,DEV_000065,,,LOC_000111,,,,completed,ussd,
EVT_006542,call,2025-01-05 07:42:02,PER_000008,PER_000029,PH_000008,,,,LOC_000077,,1176.0,outbound,completed,web,
EVT_006251,transaction,2025-01-05 09:27:45,PER_000046,PER_000035,,DEV_000086,IP_000119,ACC_000146,LOC_000028,2186.33,,inbound,completed,web,withdrawal
EVT_007224,location_ping,2025-01-05 10:11:16,PER_000070,,,DEV_000118,,,LOC_000001,,,,completed,web,
EVT_003191,login,2025-01-05 12:03:42,PER_000018,,PH_000018,DEV_000074,IP_000032,,LOC_000001,,,,completed,web,
EVT_001424,login,2025-01-05 12:11:23,PER_000076,,PH_000168,DEV_000001,IP_000001,,LOC_000016,,,,completed,mobile_app,
EVT_000841,call,2025-01-05 12:14:20,PER_000073,PER_000055,PH_000116,,,,LOC_000015,,952.0,internal,completed,atm,
EVT_002052,call,2025-01-05 12:27:04,PER_000085,PER_000064,PH_000085,,,,LOC_000085,,850.0,outbound,completed,mobile_app,
EVT_003815,location_ping,2025-01-05 14:23:25,PER_000027,,,DEV_000017,,,LOC_000097,,,,completed,pos,
EVT_002668,sms,2025-01-05 14:34:14,PER_000027,PER_000050,PH_000027,,,,LOC_000097,,,inbound,completed,pos,
EVT_005901,transaction,2025-01-05 15:00:33,PER_000065,PER_000015,,DEV_000107,IP_000008,ACC_000065,LOC_000072,108.5,,outbound,completed,web,deposit
EVT_006758,call,2025-01-05 15:47:47,PER_000062,PER_000028,PH_000152,,,,LOC_000033,,1058.0,internal,completed,api,
EVT_004629,location_ping,2025-01-05 16:10:21,PER_000018,,,DEV_000024,,,LOC_000001,,,,completed,ussd,
EVT_006339,sms,2025-01-05 16:11:22,PER_000008,PER_000015,PH_000135,,,,LOC_000077,,,internal,completed,web,
EVT_002141,login,2025-01-05 16:51:35,PER_000050,,PH_000248,DEV_000111,IP_000066,,LOC_000058,,,,completed,ussd,
EVT_001981,sms,2025-01-05 16:55:39,PER_000095,PER_000056,PH_000095,,,,LOC_000120,,,outbound,completed,atm,
EVT_006351,sms,2025-01-05 17:19:54,PER_000066,PER_000084,PH_000066,,,,LOC_000049,,,outbound,completed,mobile_app,
EVT_007394,transaction,2025-01-05 17:55:26,PER_000062,PER_000047,,DEV_000118,IP_000001,ACC_000062,LOC_000033,4449.27,,inbound,completed,ussd,payment
EVT_005760,call,2025-01-05 20:22:16,PER_000087,PER_000002,PH_000294,,,,LOC_000099,,855.0,inbound,completed,pos,
EVT_000150,login,2025-01-05 21:11:26,PER_000059,,PH_000180,DEV_000018,IP_000115,,LOC_000071,,,,completed,atm,
EVT_002036,login,2025-01-05 21:29:07,PER_000001,,PH_000298,DEV_000031,IP_000035,,LOC_000004,,,,completed,api,
EVT_002534,location_ping,2025-01-06 08:19:35,PER_000005,,,DEV_000051,,,LOC_000100,,,,completed,mobile_app,
EVT_002201,location_ping,2025-01-06 09:09:55,PER_000027,,,DEV_000026,,,LOC_000097,,,,completed,ussd,
EVT_000767,sms,2025-01-06 09:13:40,PER_000003,PER_000049,PH_000126,,,,LOC_000054,,,internal,completed,api,
EVT_001525,location_ping,2025-01-06 09:56:52,PER_000044,,,DEV_000095,,,LOC_000032,,,,completed,pos,
EVT_000539,transaction,2025-01-06 10:06:24,PER_000029,PER_000030,,DEV_000014,IP_000101,ACC_000029,LOC_000100,3698.72,,inbound,completed,api,p2p
EVT_001869,transaction,2025-01-06 10:13:25,PER_000076,PER_000074,,DEV_000001,IP_000001,ACC_000076,LOC_000015,3165.78,,internal,completed,mobile_app,payment
EVT_000976,call,2025-01-06 11:17:59,PER_000080,PER_000001,PH_000118,,,,LOC_000074,,405.0,outbound,completed,atm,
EVT_001003,login,2025-01-06 11:23:03,PER_000059,,PH_000059,DEV_000015,IP_000068,,LOC_000071,,,,completed,web,
EVT_005295,sms,2025-01-06 12:22:27,PER_000024,PER_000050,PH_000024,,,,LOC_000083,,,outbound,completed,api,
EVT_000991,login,2025-01-06 12:44:38,PER_000085,,PH_000085,DEV_000044,IP_000050,,LOC_000085,,,,completed,pos,
EVT_001018,call,2025-01-06 13:07:21,PER_000073,PER_000081,PH_000162,,,,LOC_000015,,1183.0,internal,completed,ussd,
EVT_000080,call,2025-01-06 13:41:59,PER_000079,PER_000021,PH_000079,,,,LOC_000004,,508.0,inbound,completed,pos,
EVT_001262,login,2025-01-06 14:34:11,PER_000048,,PH_000048,DEV_000104,IP_000004,,LOC_000025,,,,completed,pos,
EVT_002192,location_ping,2025-01-06 15:26:42,PER_000006,,,DEV_000062,,,LOC_000031,,,,completed,pos,
EVT_001490,login,2025-01-06 16:20:10,PER_000066,,PH_000066,DEV_000107,IP_000114,,LOC_000049,,,,completed,mobile_app,
EVT_002129,call,2025-01-06 17:22:36,PER_000016,PER_000050,PH_000016,,,,LOC_000054,,427.0,outbound,completed,pos,
EVT_000260,location_ping,2025-01-06 18:43:00,PER_000041,,,DEV_000002,,,LOC_000068,,,,completed,web,
EVT_002223,location_ping,2025-01-06 22:16:10,PER_000093,,,DEV_000045,,,LOC_000071,,,,completed,web,
EVT_004086,login,2025-01-07 06:42:29,PER_000001,,PH_000001,DEV_000019,IP_000063,,LOC_000029,,,,completed,pos,
EVT_005373,call,2025-01-07 08:46:21,PER_000065,PER_000094,PH_000065,,,,LOC_000072,,593.0,internal,completed,ussd,
EVT_005188,call,2025-01-07 11:01:18,PER_000073,PER_000075,PH_000244,,,,LOC_000015,,220.0,internal,completed,atm,
EVT_000652,sms,2025-01-07 11:42:30,PER_000087,PER_000002,PH_000087,,,,LOC_000099,,,internal,completed,web,
EVT_004927,location_ping,2025-01-07 12:31:30,PER_000073,,,DEV_000085,,,LOC_000015,,,,completed,ussd,
EVT_003503,sms,2025-01-07 13:20:13,PER_000060,PER_000038,PH_000060,,,,LOC_000091,,,outbound,completed,ussd,
EVT_002957,login,2025-01-07 14:27:26,PER_000081,,PH_000202,DEV_000015,IP_000093,,LOC_000084,,,,completed,ussd,
EVT_005376,transaction,2025-01-07 15:29:42,PER_000073,PER_000082,,DEV_000108,IP_000097,ACC_000073,LOC_000015,1763.7,,inbound,completed,ussd,transfer
EVT_006312,login,2025-01-07 16:50:44,PER_000093,,PH_000142,DEV_000044,IP_000040,,LOC_000071,,,,completed,atm,
EVT_001494,transaction,2025-01-07 17:03:00,PER_000058,PER_000028,,DEV_000087,IP_000045,ACC_000058,LOC_000091,4000.39,,outbound,completed,pos,p2p
EVT_000575,sms,2025-01-07 17:38:06,PER_000093,PER_000049,PH_000225,,,,LOC_000071,,,outbound,completed,api,
EVT_001737,location_ping,2025-01-07 18:09:25,PER_000069,,,DEV_000021,,,LOC_000031,,,,completed,pos,
EVT_005619,transaction,2025-01-07 18:37:41,PER_000024,PER_000087,,DEV_000113,IP_000011,ACC_000124,LOC_000083,156295.58,,outbound,completed,web,withdrawal
EVT_003510,sms,2025-01-07 19:55:49,PER_000024,PER_000074,PH_000024,,,,LOC_000083,,,internal,completed,atm,
EVT_000796,location_ping,2025-01-07 22:21:21,PER_000061,,,DEV_000045,,,LOC_000062,,,,completed,api,
EVT_002280,sms,2025-01-07 22:54:06,PER_000087,PER_000042,PH_000087,,,,LOC_000099,,,internal,completed,web,
EVT_006949,location_ping,2025-01-08 03:06:11,PER_000029,,,DEV_000103,,,LOC_000081,,,,completed,atm,
EVT_006331,login,2025-01-08 07:01:35,PER_000085,,PH_000085,DEV_000033,IP_000037,,LOC_000085,,,,completed,ussd,
EVT_002594,login,2025-01-08 08:18:28,PER_000002,,PH_000002,DEV_000088,IP_000016,,LOC_000032,,,,completed,api,
EVT_000764,location_ping,2025-01-08 09:42:25,PER_000047,,,DEV_000108,,,LOC_000113,,,,completed,ussd,
EVT_002506,call,2025-01-08 10:12:43,PER_000001,PER_000097,PH_000298,,,,LOC_000029,,1080.0,inbound,completed,mobile_app,
EVT_004054,login,2025-01-08 10:12:43,PER_000093,,PH_000138,DEV_000022,IP_000014,,LOC_000071,,,,completed,ussd,
EVT_005695,location_ping,2025-01-08 10:25:35,PER_000062,,,DEV_000008,,,LOC_000033,,,,completed,ussd,
EVT_006955,transaction,2025-01-08 12:45:36,PER_000050,PER_000027,,DEV_000053,IP_000090,ACC_000150,LOC_000058,3216.57,,inbound,completed,atm,payment
EVT_004973,transaction,2025-01-08 14:09:43,PER_000066,PER_000039,,DEV_000090,IP_000010,ACC_000066,LOC_000049,434.84,,inbound,completed,web,p2p
EVT_006905,transaction,2025-01-08 14:58:12,PER_000042,PER_000024,,DEV_000106,IP_000006,ACC_000142,LOC_000107,2648.99,,outbound,completed,mobile_app,deposit
EVT_003389,transaction,2025-01-08 15:00:26,PER_000021,PER_000010,,DEV_000068,IP_000049,ACC_000121,LOC_000086,4170.53,,internal,completed,api,payment
EVT_001179,sms,2025-01-08 15:23:48,PER_000067,PER_000001,PH_000200,,,,LOC_000040,,,outbound,completed,mobile_app,
EVT_001354,call,2025-01-08 16:47:50,PER_000016,PER_000002,PH_000016,,,,LOC_000054,,1122.0,internal,completed,web,
EVT_000618,call,2025-01-08 17:01:09,PER_000073,PER_000048,PH_000244,,,,LOC_000015,,510.0,inbound,completed,ussd,
EVT_002841,location_ping,2025-01-08 17:17:28,PER_000087,,,DEV_000038,,,LOC_000099,,,,completed,mobile_app,
EVT_001669,call,2025-01-08 17:36:20,PER_000046,PER_000030,PH_000046,,,,LOC_000028,,315.0,inbound,completed,pos,
EVT_006767,location_ping,2025-01-08 22:41:16,PER_000061,,,DEV_000050,,,LOC_000062,,,,completed,api,
EVT_000703,sms,2025-01-08 23:17:51,PER_000031,PER_000089,PH_000112,,,,LOC_000017,,,outbound,completed,pos,
EVT_002477,location_ping,2025-01-09 07:02:16,PER_000024,,,DEV_000053,,,LOC_000083,,,,completed,atm,
EVT_006844,sms,2025-01-09 07:51:09,PER_000062,PER_000063,PH_000213,,,,LOC_000033,,,outbound,completed,mobile_app,
EVT_001182,location_ping,2025-01-09 08:10:08,PER_000027,,,DEV_000109,,,LOC_000089,,,,completed,api,
EVT_002108,location_ping,2025-01-09 08:47:23,PER_000091,,,DEV_000002,,,LOC_000057,,,,completed,atm,
EVT_001428,transaction,2025-01-09 09:33:48,PER_000053,PER_000088,,DEV_000090,IP_000072,ACC_000053,LOC_000046,2259.76,,internal,completed,web,deposit
EVT_006131,location_ping,2025-01-09 10:22:09,PER_000069,,,DEV_000013,,,LOC_000031,,,,completed,ussd,
EVT_000571,transaction,2025-01-09 10:34:42,PER_000023,PER_000076,,DEV_000093,IP_000096,ACC_000123,LOC_000033,2485.69,,internal,completed,api,p2p
EVT_000990,call,2025-01-09 11:01:18,PER_000025,PER_000016,PH_000025,,,,LOC_000007,,879.0,outbound,completed,pos,
EVT_003031,sms,2025-01-09 11:12:41,PER_000057,PER_000058,PH_000057,,,,LOC_000030,,,inbound,completed,pos,
EVT_000484,call,2025-01-09 11:26:01,PER_000026,PER_000002,PH_000176,,,,LOC_000059,,358.0,internal,completed,web,
EVT_003779,location_ping,2025-01-09 12:00:17,PER_000029,,,DEV_000084,,,LOC_000100,,,,completed,api,
EVT_006771,location_ping,2025-01-09 13:00:10,PER_000093,,,DEV_000015,,,LOC_000071,,,,completed,ussd,
EVT_001460,sms,2025-01-09 13:26:05,PER_000073,PER_000052,PH_000162,,,,LOC_000015,,,outbound,completed,mobile_app,
EVT_007182,transaction,2025-01-09 14:56:25,PER_000042,PER_000024,,DEV_000081,IP_000109,ACC_000142,LOC_000060,341015.28,,internal,completed,pos,transfer
EVT_001495,sms,2025-01-09 14:58:22,PER_000046,PER_000051,PH_000046,,,,LOC_000028,,,inbound,completed,mobile_app,
EVT_003858,location_ping,2025-01-09 15:00:10,PER_000024,,,DEV_000120,,,LOC_000083,,,,completed,ussd,
EVT_004911,login,2025-01-09 16:33:15,PER_000013,,PH_000292,DEV_000006,IP_000022,,LOC_000041,,,,completed,web,
EVT_004798,login,2025-01-09 16:41:04,PER_000094,,PH_000198,DEV_000069,IP_000109,,LOC_000060,,,,completed,api,
EVT_000184,location_ping,2025-01-09 17:33:08,PER_000062,,,DEV_000001,,,LOC_000033,,,,completed,atm,
EVT_000707,transaction,2025-01-09 17:43:54,PER_000027,PER_000047,,DEV_000077,IP_000031,ACC_000127,LOC_000097,1077.85,,inbound,completed,ussd,transfer
EVT_006531,sms,2025-01-09 17:53:40,PER_000093,PER_000022,PH_000225,,,,LOC_000071,,,internal,completed,mobile_app,
EVT_002989,transaction,2025-01-09 18:27:08,PER_000073,PER_000055,,DEV_000050,IP_000057,ACC_000073,LOC_000015,1346.84,,internal,completed,atm,transfer
EVT_001897,location_ping,2025-01-09 18:54:04,PER_000018,,,DEV_000115,,,LOC_000001,,,,completed,api,
EVT_002969,login,2025-01-09 18:58:31,PER_000087,,PH_000294,DEV_000109,IP_000011,,LOC_000099,,,,completed,web,
EVT_004090,location_ping,2025-01-09 19:00:45,PER_000080,,,DEV_000066,,,LOC_000074,,,,completed,web,
EVT_001973,login,2025-01-09 19:20:05,PER_000062,,PH_000213,DEV_000004,IP_000072,,LOC_000033,,,,completed,mobile_app,
EVT_006151,login,2025-01-09 19:30:01,PER_000064,,PH_000101,DEV_000038,IP_000044,,LOC_000020,,,,completed,atm,
EVT_005191,call,2025-01-09 19:34:03,PER_000027,PER_000002,PH_000245,,,,LOC_000035,,444.0,outbound,completed,atm,
EVT_003939,sms,2025-01-09 20:00:07,PER_000016,PER_000002,PH_000016,,,,LOC_000054,,,outbound,completed,atm,
EVT_005858,location_ping,2025-01-09 21:31:16,PER_000027,,,DEV_000052,,,LOC_000097,,,,completed,atm,
EVT_001964,call,2025-01-09 21:39:45,PER_000027,PER_000016,PH_000245,,,,LOC_000097,,954.0,outbound,completed,atm,
EVT_000880,transaction,2025-01-09 23:07:12,PER_000022,PER_000076,,DEV_000117,IP_000065,ACC_000122,LOC_000097,1799.9,,internal,completed,ussd,withdrawal
EVT_000164,transaction,2025-01-10 03:09:03,PER_000025,PER_000070,,DEV_000024,IP_000014,ACC_000125,LOC_000007,1059.16,,inbound,completed,api,transfer
EVT_000421,sms,2025-01-10 03:17:50,PER_000069,PER_000027,PH_000069,,,,LOC_000031,,,internal,completed,ussd,
EVT_003382,sms,2025-01-10 04:18:01,PER_000002,PER_000050,PH_000002,,,,LOC_000032,,,internal,completed,mobile_app,
EVT_005027,call,2025-01-10 05:49:24,PER_000059,PER_000045,PH_000180,,,,LOC_000071,,292.0,inbound,completed,atm,
EVT_003786,sms,2025-01-10 08:03:25,PER_000027,PER_000002,PH_000027,,,,LOC_000061,,,internal,completed,web,
EVT_000344,sms,2025-01-10 09:40:45,PER_000071,PER_000067,PH_000071,,,,LOC_000005,,,inbound,completed,api,
EVT_000636,transaction,2025-01-10 09:41:50,PER_000002,PER_000001,,DEV_000037,IP_000017,ACC_000102,LOC_000032,81590.28,,internal,completed,ussd,transfer
EVT_006333,sms,2025-01-10 10:02:41,PER_000047,PER_000091,PH_000120,,,,LOC_000113,,,inbound,completed,mobile_app,
EVT_003154,location_ping,2025-01-10 11:05:55,PER_000018,,,DEV_000064,,,LOC_000001,,,,completed,ussd,
EVT_006515,transaction,2025-01-10 12:17:24,PER_000059,PER_000066,,DEV_000090,IP_000107,ACC_000059,LOC_000071,2815.25,,inbound,completed,mobile_app,payment
EVT_006621,location_ping,2025-01-10 13:29:23,PER_000073,,,DEV_000084,,,LOC_000015,,,,completed,ussd,
EVT_000116,call,2025-01-10 13:54:32,PER_000016,PER_000087,PH_000016,,,,LOC_000071,,1120.0,internal,completed,atm,
EVT_001707,location_ping,2025-01-10 14:37:05,PER_000050,,,DEV_000029,,,LOC_000058,,,,completed,mobile_app,
EVT_003086,location_ping,2025-01-10 15:12:14,PER_000095,,,DEV_000067,,,LOC_000120,,,,completed,atm,
EVT_002686,login,2025-01-10 15:45:11,PER_000018,,PH_000018,DEV_000079,IP_000080,,LOC_000001,,,,completed,web,
EVT_006308,transaction,2025-01-10 17:25:36,PER_000026,PER_000098,,DEV_000111,IP_000039,ACC_000026,LOC_000059,735.46,,internal,completed,ussd,transfer
EVT_003159,login,2025-01-10 17:50:05,PER_000023,,PH_000234,DEV_000061,IP_000092,,LOC_000117,,,,completed,atm,
EVT_006125,sms,2025-01-10 18:11:56,PER_000062,PER_000044,PH_000213,,,,LOC_000106,,,inbound,completed,atm,
EVT_002170,location_ping,2025-01-10 18:53:49,PER_000045,,,DEV_000001,,,LOC_000004,,,,completed,ussd,
EVT_000740,login,2025-01-11 05:00:47,PER_000093,,PH_000262,DEV_000078,IP_000118,,LOC_000071,,,,completed,ussd,
EVT_007481,login,2025-01-11 06:53:47,PER_000059,,PH_000180,DEV_000037,IP_000091,,LOC_000074,,,,completed,ussd,
EVT_001996,sms,2025-01-11 07:08:51,PER_000064,PER_000034,PH_000101,,,,LOC_000020,,,internal,completed,api,
EVT_002211,login,2025-01-11 08:54:21,PER_000045,,PH_000169,DEV_000001,IP_000001,,LOC_000004,,,,completed,pos,
EVT_007344,call,2025-01-11 09:00:12,PER_000027,PER_000042,PH_000245,,,,LOC_000097,,260.0,internal,completed,mobile_app,
