ip_id,ip_synthetic,ip_type,region_synthetic
IP_000040,198.113.27.13,residential,Industrial-Zone
IP_000041,198.113.34.26,mobile,Tech-Park-Alpha
IP_000042,198.113.41.39,datacenter,Suburban-West
IP_000043,198.0.48.52,residential,Industrial-Zone
IP_000044,198.0.55.65,vpn,South-Metro
IP_000045,198.113.62.78,mobile,North-Metro
IP_000046,198.0.69.91,datacenter,Industrial-Zone
IP_000047,198.113.76.104,mobile,Tech-Park-Alpha
IP_000048,198.51.83.117,vpn,Financial-District
IP_000049,198.51.90.130,vpn,Border-Transit
IP_000050,198.0.97.143,vpn,South-Metro
IP_000051,198.51.104.156,residential,Suburban-West
IP_000052,198.113.111.169,datacenter,Central-Highlands
IP_000053,198.51.118.182,mobile,Tech-Park-Alpha
IP_000054,198.0.125.195,mobile,Tech-Park-Alpha
IP_000055,198.51.132.208,datacenter,East-Coast
IP_000056,198.113.139.221,residential,Central-Highlands
IP_000057,198.113.146.234,datacenter,Tech-Park-Alpha
IP_000058,198.0.153.247,residential,Financial-District
IP_000059,198.113.160.6,vpn,North-Metro
IP_000060,198.51.167.19,vpn,East-Coast
IP_000061,198.0.174.32,vpn,Industrial-Zone
IP_000062,198.0.181.45,mobile,East-Coast
IP_000063,198.0.188.58,residential,Central-Highlands
IP_000064,198.0.195.71,residential,Tech-Park-Alpha
IP_000065,198.113.202.84,mobile,Border-Transit
IP_000066,198.51.209.97,mobile,East-Coast
IP_000067,198.0.216.110,mobile,Industrial-Zone
IP_000068,198.0.223.123,datacenter,Tech-Park-Alpha
IP_000069,198.113.230.136,mobile,Industrial-Zone
IP_000070,198.113.237.149,vpn,Industrial-Zone
IP_000071,198.0.244.162,mobile,Central-Highlands
IP_000072,198.51.251.175,mobile,Tech-Park-Alpha
IP_000073,198.113.4.188,datacenter,Industrial-Zone
IP_000074,198.51.11.201,datacenter,Suburban-West
IP_000075,198.113.18.214,datacenter,East-Coast
IP_000076,198.0.25.227,mobile,Central-Highlands
IP_000077,198.0.32.240,datacenter,Tech-Park-Alpha
IP_000078,198.113.39.253,residential,Suburban-West
IP_000079,198.0.46.12,vpn,South-Metro
IP_000080,198.0.53.25,vpn,Industrial-Zone
IP_000081,198.113.60.38,mobile,Financial-District
IP_000082,198.0.67.51,mobile,Industrial-Zone
IP_000083,198.51.74.64,residential,Financial-District
IP_000084,198.0.81.77,datacenter,Suburban-West
IP_000085,198.51.88.90,mobile,Financial-District
IP_000086,198.0.95.103,vpn,West-Harbor
IP_000087,198.0.102.116,vpn,South-Metro
IP_000088,198.113.109.129,vpn,East-Coast
IP_000089,198.0.116.142,residential,Central-Highlands
IP_000090,198.51.123.155,mobile,Industrial-Zone
IP_000091,198.51.130.168,residential,South-Metro
IP_000092,198.0.137.181,vpn,West-Harbor
IP_000093,198.0.144.194,datacenter,South-Metro
IP_000094,198.51.151.207,mobile,Central-Highlands
IP_000095,198.0.158.220,residential,West-Harbor
IP_000096,198.51.165.233,datacenter,South-Metro
IP_000097,198.0.172.246,datacenter,Border-Transit
IP_000098,198.113.179.5,residential,Suburban-West
IP_000099,198.113.186.18,mobile,East-Coast
IP_000100,198.51.193.31,datacenter,North-Metro
IP_000101,198.113.200.44,vpn,West-Harbor
IP_000102,198.113.207.57,datacenter,East-Coast
IP_000103,198.113.214.70,residential,Suburban-West
IP_000104,198.51.221.83,residential,Suburban-West
IP_000105,198.113.228.96,residential,Financial-District
IP_000106,198.51.235.109,residential,Financial-District
IP_000107,198.51.242.122,vpn,North-Metro
IP_000108,198.51.249.135,residential,Tech-Park-Alpha
IP_000109,198.0.2.148,residential,Border-Transit
IP_000110,198.113.9.161,vpn,East-Coast
IP_000111,198.0.16.174,vpn,Suburban-West
IP_000112,198.51.23.187,mobile,Industrial-Zone
IP_000113,198.113.30.200,datacenter,East-Coast
IP_000114,198.0.37.213,residential,Industrial-Zone
IP_000115,198.0.44.226,vpn,West-Harbor
IP_000116,198.0.51.239,mobile,North-Metro
IP_000117,198.51.58.252,vpn,Suburban-West
IP_000118,198.51.65.11,datacenter,Central-Highlands
IP_000119,198.0.72.24,mobile,Central-Highlands
IP_000120,198.51.79.37,residential,Tech-Park-Alpha
