account_id,owner_person_id,account_type,created_date
ACC_000046,PER_000046,bank,2025-08-06
ACC_000047,PER_000047,wallet,2025-12-01
ACC_000048,PER_000048,bank,2025-06-02
ACC_000049,PER_000049,social,2025-08-19
ACC_000050,PER_000050,bank,2025-06-28
ACC_000051,PER_000051,bank,2025-08-13
ACC_000052,PER_000052,wallet,2025-05-02
ACC_000053,PER_000053,social,2025-10-29
ACC_000054,PER_000054,messaging,2025-12-30
ACC_000055,PER_000055,wallet,2025-03-26
ACC_000056,PER_000056,wallet,2025-04-16
ACC_000057,PER_000057,social,2025-01-31
ACC_000058,PER_000058,social,2025-09-30
ACC_000059,PER_000059,wallet,2025-11-02
ACC_000060,PER_000060,social,2025-06-15
ACC_000061,PER_000061,social,2025-05-29
ACC_000062,PER_000062,bank,2025-09-21
ACC_000063,PER_000063,messaging,2025-03-11
ACC_000064,PER_000064,social,2025-01-31
ACC_000065,PER_000065,wallet,2025-12-02
ACC_000066,PER_000066,wallet,2025-12-26
ACC_000067,PER_000067,wallet,2025-05-08
ACC_000068,PER_000068,social,2025-12-31
ACC_000069,PER_000069,messaging,2025-05-07
ACC_000070,PER_000070,wallet,2025-09-08
ACC_000071,PER_000071,social,2025-10-23
ACC_000072,PER_000072,messaging,2025-11-18
ACC_000073,PER_000073,messaging,2025-07-12
ACC_000074,PER_000074,bank,2025-02-08
ACC_000075,PER_000075,social,2025-07-26
ACC_000076,PER_000076,social,2025-12-22
ACC_000077,PER_000077,messaging,2025-08-21
ACC_000078,PER_000078,bank,2025-06-17
ACC_000079,PER_000079,messaging,2025-02-17
ACC_000080,PER_000080,social,2025-11-22
ACC_000081,PER_000081,messaging,2025-02-02
ACC_000082,PER_000082,messaging,2025-04-22
ACC_000083,PER_000083,messaging,2025-04-19
ACC_000084,PER_000084,social,2025-05-18
ACC_000085,PER_000085,social,2025-05-26
ACC_000086,PER_000086,wallet,2025-10-08
ACC_000087,PER_000087,messaging,2025-10-17
ACC_000088,PER_000088,bank,2025-06-25
ACC_000089,PER_000089,bank,2025-01-24
ACC_000090,PER_000090,messaging,2025-11-17
ACC_000091,PER_000091,bank,2025-01-09
ACC_000092,PER_000092,messaging,2025-03-22
ACC_000093,PER_000093,bank,2025-08-22
ACC_000094,PER_000094,wallet,2025-08-08
ACC_000095,PER_000095,wallet,2025-12-19
ACC_000096,PER_000096,social,2025-11-29
ACC_000097,PER_000097,social,2025-03-23
ACC_000098,PER_000098,social,2025-02-17
ACC_000099,PER_000099,bank,2025-05-09
ACC_000100,PER_000100,wallet,2025-07-10
ACC_000101,PER_000001,messaging,2025-01-27
ACC_000102,PER_000002,social,2025-11-17
ACC_000103,PER_000003,wallet,2025-12-25
ACC_000104,PER_000004,bank,2025-08-08
ACC_000105,PER_000005,bank,2025-12-27
ACC_000106,PER_000006,wallet,2025-01-01
ACC_000107,PER_000007,bank,2025-09-02
ACC_000108,PER_000008,wallet,2025-03-09
ACC_000109,PER_000009,messaging,2025-09-23
ACC_000110,PER_000010,bank,2025-01-05
ACC_000111,PER_000011,social,2025-12-23
ACC_000112,PER_000012,messaging,2025-03-03
ACC_000113,PER_000013,wallet,2025-12-22
ACC_000114,PER_000014,bank,2025-09-02
ACC_000115,PER_000015,messaging,2025-04-28
ACC_000116,PER_000016,bank,2025-02-15
ACC_000117,PER_000017,social,2025-02-22
ACC_000118,PER_000018,social,2025-07-08
ACC_000119,PER_000019,messaging,2025-03-12
ACC_000120,PER_000020,wallet,2025-03-10
ACC_000121,PER_000021,bank,2025-02-05
ACC_000122,PER_000022,wallet,2025-11-09
ACC_000123,PER_000023,social,2025-08-14
ACC_000124,PER_000024,wallet,2025-04-20
ACC_000125,PER_000025,messaging,2025-07-30
ACC_000126,PER_000026,bank,2025-04-22
ACC_000127,PER_000027,wallet,2025-02-21
ACC_000128,PER_000028,messaging,2025-03-05
ACC_000129,PER_000029,messaging,2025-06-29
ACC_000130,PER_000030,wallet,2025-06-11
ACC_000131,PER_000031,social,2025-05-07
ACC_000132,PER_000032,bank,2025-11-27
ACC_000133,PER_000033,social,2025-05-08
ACC_000134,PER_000034,bank,2025-12-20
ACC_000135,PER_000035,social,2025-12-04
ACC_000136,PER_000036,wallet,2025-04-16
ACC_000137,PER_000037,social,2025-07-20
ACC_000138,PER_000038,bank,2025-11-27
ACC_000139,PER_000039,messaging,2025-05-03
ACC_000140,PER_000040,bank,2025-07-17
ACC_000141,PER_000041,messaging,2025-05-04
ACC_000142,PER_000042,bank,2025-11-23
ACC_000143,PER_000043,bank,2025-09-28
ACC_000144,PER_000044,social,2025-07-04
ACC_000145,PER_000045,messaging,2025-03-09
ACC_000146,PER_000046,messaging,2025-10-19
ACC_000147,PER_000047,wallet,2025-07-07
ACC_000148,PER_000048,bank,2025-08-30
ACC_000149,PER_000049,bank,2025-01-09
ACC_000150,PER_000050,social,2025-01-08
